,URL,Title,Scheme,HTTP Status Code,HTTP Status,HTTP Error Message,Is Paginated,Contains rel Next/Prev Link,Contains Paginated HTML,Contains Paginated HTML but no Link,Canonical URL,First Parent URL,Indexable Status,No. Internal Linking URLs,Link Equity Score,Crawl Depth,Crawl Source,URL Source
21,https://www.mdmountainside.com/family-fun?from=1,"Activities and Fun for Families and Kids - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/family-fun,https://www.mdmountainside.com/family-fun?from=21,Canonicalized,0,0.0,3,Crawler,Anchor
22,https://www.mdmountainside.com/family-fun?from=11,"Activities and Fun for Families and Kids - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/family-fun,https://www.mdmountainside.com/family-fun?from=41,Canonicalized,1,2.31,3,Crawler,Anchor
23,https://www.mdmountainside.com/family-fun?from=21,"Activities and Fun for Families and Kids - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/family-fun,https://www.mdmountainside.com/family-fun,Canonicalized,1,2.31,2,Crawler,Anchor
24,https://www.mdmountainside.com/family-fun?from=31,"Activities and Fun for Families and Kids - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/family-fun,https://www.mdmountainside.com/family-fun,Canonicalized,1,2.31,2,Crawler,Anchor
25,https://www.mdmountainside.com/family-fun?from=41,"Activities and Fun for Families and Kids - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/family-fun,https://www.mdmountainside.com/family-fun,Canonicalized,1,2.31,2,Crawler,Anchor
26,https://www.mdmountainside.com/grocery-and-convenience-stores?from=1,"Grocery Shopping and Convenience Stores - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/grocery-and-convenience-stores,https://www.mdmountainside.com/grocery-and-convenience-stores?from=21,Canonicalized,0,0.0,4,Crawler,Anchor
27,https://www.mdmountainside.com/grocery-and-convenience-stores?from=11,"Grocery Shopping and Convenience Stores - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/grocery-and-convenience-stores,https://www.mdmountainside.com/grocery-and-convenience-stores?from=31,Canonicalized,1,2.29,4,Crawler,Anchor
28,https://www.mdmountainside.com/grocery-and-convenience-stores?from=21,"Grocery Shopping and Convenience Stores - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/grocery-and-convenience-stores,https://www.mdmountainside.com/grocery-and-convenience-stores,Canonicalized,1,2.29,3,Crawler,Anchor
29,https://www.mdmountainside.com/grocery-and-convenience-stores?from=31,"Grocery Shopping and Convenience Stores - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/grocery-and-convenience-stores,https://www.mdmountainside.com/grocery-and-convenience-stores,Canonicalized,1,2.29,3,Crawler,Anchor
30,https://www.mdmountainside.com/history-and-heritage?from=1,"Local History And Heritage - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/history-and-heritage,https://www.mdmountainside.com/history-and-heritage?from=31,Canonicalized,0,0.0,3,Crawler,Anchor
31,https://www.mdmountainside.com/history-and-heritage?from=11,"Local History And Heritage - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/history-and-heritage,https://www.mdmountainside.com/history-and-heritage?from=31,Canonicalized,1,2.31,3,Crawler,Anchor
32,https://www.mdmountainside.com/history-and-heritage?from=21,"Local History And Heritage - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/history-and-heritage,https://www.mdmountainside.com/history-and-heritage,Canonicalized,1,2.31,2,Crawler,Anchor
33,https://www.mdmountainside.com/history-and-heritage?from=31,"Local History And Heritage - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/history-and-heritage,https://www.mdmountainside.com/history-and-heritage,Canonicalized,1,2.31,2,Crawler,Anchor
34,https://www.mdmountainside.com/hospitals-and-health-care?from=1,"Find Hospitals and Health Care - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/hospitals-and-health-care,https://www.mdmountainside.com/hospitals-and-health-care?from=21,Canonicalized,0,0.0,4,Crawler,Anchor
35,https://www.mdmountainside.com/hospitals-and-health-care?from=21,"Find Hospitals and Health Care - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/hospitals-and-health-care,https://www.mdmountainside.com/hospitals-and-health-care,Canonicalized,1,2.29,3,Crawler,Anchor
36,https://www.mdmountainside.com/restaurants?from=1,"Find a Restaurant - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/restaurants,https://www.mdmountainside.com/restaurants?from=21,Canonicalized,0,0.0,3,Crawler,Anchor
37,https://www.mdmountainside.com/restaurants?from=11,"Find a Restaurant - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/restaurants,https://www.mdmountainside.com/restaurants?from=31,Canonicalized,1,2.31,3,Crawler,Anchor
38,https://www.mdmountainside.com/restaurants?from=21,"Find a Restaurant - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/restaurants,https://www.mdmountainside.com/restaurants,Canonicalized,1,2.31,2,Crawler,Anchor
39,https://www.mdmountainside.com/restaurants?from=31,"Find a Restaurant - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/restaurants,https://www.mdmountainside.com/restaurants,Canonicalized,1,2.31,2,Crawler,Anchor
40,https://www.mdmountainside.com/restaurants?from=41,"Find a Restaurant - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/restaurants,https://www.mdmountainside.com/restaurants,Canonicalized,1,2.31,2,Crawler,Anchor
41,https://www.mdmountainside.com/results?from=1,"Site Search Results - Allegany County, The Mountain Side of Maryland",https,200,OK,None,Yes,Yes,Yes,No,https://www.mdmountainside.com/results,https://www.mdmountainside.com/results?from=21,Canonicalized Noindex,0,0.0,4,Crawler,Anchor
