,URL,HTTP Status Code,HTTP Status,Redirect,Redirect URL,Redirect URL Status Code,Redirect URL Status,Crawl Source,Total Clicks,Total Impressions,Average CTR,Average Position,Desktop Clicks (URL Avg),Desktop Impressions (URL Avg),Desktop CTR (URL Avg),Desktop Position (URL Avg),Mobile Clicks (URL Avg),Mobile Impressions (URL Avg),Mobile CTR (URL Avg),Mobile Position (URL Avg),Tablet Clicks (URL Avg),Tablet Impressions (URL Avg),Tablet CTR (URL Avg),Tablet Position (URL Avg),Found in Google Analytics,Users,Sessions,Pageviews,Pageviews Per Session,Unique Pageviews,Bounce Rate,Avg Time On Page,Entrance Rate,Goal Completions,Goal Conversion Rate
0,https://www.mdmountainside.com/canal-place-heritage-area,301,Moved Permanently,Yes,https://www.mdmountainside.com/canal-place-heritage-park,200,OK,Google Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,4,4,6,1.5,6,50,82.5,66.67,0,0
1,https://www.mdmountainside.com/co-canal-national-historical-park-visitors-center,301,Moved Permanently,Yes,https://www.mdmountainside.com/co-canal-national-historical-park-museum,200,OK,Google Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,5,5,12,2.4,9,60,282.43,41.67,0,0
2,https://www.mdmountainside.com/frostburg-museum-,301,Moved Permanently,Yes,https://www.mdmountainside.com/frostburg-museum,200,OK,Google Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,5,5,11,2.2,9,40,283.33,45.45,0,0
