,URL,Duplicate JS Resources,No. URLs Referencing Resource
0,https://www.recaptcha.net/recaptcha/api.js?onload=onloadCallback&render=explicit&_=1565001300059,1,1
1,https://www.recaptcha.net/recaptcha/api.js?onload=onloadCallback&render=explicit&_=1565001837296,1,1
