,URL,File Size (kB),Compression,No. URLs Referencing Resource
0,https://cdn1.architech.network/allegany-md/styles/themeI1_9097366750915728955.css,179.21,Gzipped,1140
1,https://cdn1.architech.network/at-assets/19.29.1.2/css/bootstrap-b.css,140.44,Gzipped,1140
2,https://cdn1.architech.network/at-assets/19.29.1.2/css/style-plugins.css,279.0,Gzipped,1140
3,https://f.vimeocdn.com/p/3.14.17/css/player.css,17.64,Gzipped,1
4,https://js.gleam.io/assets/w-7e9924a201db4c44b8ba87721661a762ed01f9f30d5d305e685a5de355c190e1.css,266.14,Gzipped,3
5,https://starling.crowdriff.com/css/app.37b4e5f6221016515489.css,48.11,Gzipped,2
