,URL,Crawl Depth,Redirect Type,HTTP Status Code,HTTP Status,Redirect,Redirect URL,Redirect URL Status Code,Redirect URL Status,Crawl Source,First Parent URL,Example Link 1 URL,Example Link 1 Text,Example Link 1 Nofollow,Example Link 1 Location,Example Link 1 Image,Example Link 2 URL,Example Link 2 Text,Example Link 2 Nofollow,Example Link 2 Location,Example Link 2 Image,Example Link 3 URL,Example Link 3 Text,Example Link 3 Nofollow,Example Link 3 Location,Example Link 3 Image,Example Link 4 URL,Example Link 4 Text,Example Link 4 Nofollow,Example Link 4 Location,Example Link 4 Image,Example Link 5 URL,Example Link 5 Text,Example Link 5 Nofollow,Example Link 5 Location,Example Link 5 Image
0,https://www.mdmountainside.com/canal-place-heritage-area,Not Set,HTTP Header,301,Moved Permanently,Yes,https://www.mdmountainside.com/canal-place-heritage-park,200,OK,Google Analytics,None,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.mdmountainside.com/co-canal-national-historical-park-visitors-center,Not Set,HTTP Header,301,Moved Permanently,Yes,https://www.mdmountainside.com/co-canal-national-historical-park-museum,200,OK,Google Analytics,None,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.mdmountainside.com/frostburg-museum-,Not Set,HTTP Header,301,Moved Permanently,Yes,https://www.mdmountainside.com/frostburg-museum,200,OK,Google Analytics,None,,,,,,,,,,,,,,,,,,,,,,,,,
